Actor,Connections,Appearances,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,PageRank
Anupam Kher,374,60,0.8095238095238096,1.0,0.8644067796610171,1.0
Danny Trejo,292,39,0.33333333333333337,0.038034786087926195,0.8160000000000001,0.26682409077538377
Samuel L. Jackson,279,35,0.5238095238095238,0.09493037868782442,0.8986784140969164,0.4959634641471751
Fred Tatasciore,274,31,0.4761904761904762,0.2543879959903848,0.918918918918919,0.37030460481570127
Fred Armisen,265,22,0.42857142857142855,0.011735322951177449,0.819277108433735,0.48141099620901767
John Goodman,265,29,0.8095238095238096,0.11672564659695923,0.8908296943231441,0.7232990584715868
Amitabh Bachchan,258,47,0.5714285714285714,0.09115026985819641,0.6822742474916389,0.49280862598663666
Paresh Rawal,250,39,0.4761904761904762,0.02109505702660201,0.6476190476190478,0.6756422115780392
Morgan Freeman,249,25,0.5238095238095238,0.03836178341241487,0.8429752066115703,0.5249345472065262
Liev Schreiber,244,23,0.5714285714285714,0.08813464580854986,0.8644067796610171,0.5178411365106688
Naseeruddin Shah,239,39,0.4761904761904762,0.028984538913104246,0.6476190476190478,0.38859397209794483
Bruce Willis,236,30,0.5238095238095238,0.05630474016616237,0.914798206278027,0.41889022600628567
Jason Sudeikis,233,13,0.9047619047619048,0.12620246955331102,0.918918918918919,0.7029367413828085
Shah Rukh Khan,232,46,0.6190476190476191,0.015132451500982263,0.6580645161290324,0.8573564079461448
Paul Giamatti,231,21,0.5714285714285714,0.18244115662670293,0.9066666666666667,0.38193228704370275
Dennis Quaid,228,22,0.33333333333333337,0.0,0.7727272727272728,0.22413702875368724
Takahiro Sakurai,228,33,0.33333333333333337,0.0,0.4880382775119617,0.6639620713562209
Molly Shannon,226,20,0.8095238095238096,0.06292877750854745,0.9230769230769231,0.77213110734437
Yuichi Nakamura,224,20,0.380952380952381,0.04964399446601633,0.6219512195121951,0.47977874244125995
Yuki Kaji,222,30,0.380952380952381,0.04964399446601633,0.6219512195121951,0.6900239651916142
James Franco,222,24,0.6190476190476191,0.06300573766278027,0.8908296943231441,0.4333811682093265
Akshay Kumar,219,41,0.5238095238095238,0.017795709183744554,0.6496815286624203,0.6831190389557238
Jim Cummings,219,44,0.5714285714285714,0.09370188580293626,0.8644067796610171,0.6530600139320016
Keith David,216,25,0.5714285714285714,0.14761516134159597,0.9107142857142858,0.47118818118505057
Om Puri,215,35,0.6190476190476191,0.1422896435725632,0.7083333333333335,0.5966660267675268
Nicolas Cage,214,36,0.380952380952381,0.06005161780542326,0.8292682926829269,0.32834878847544163
Jane Lynch,211,23,0.5714285714285714,0.026026871813447008,0.8360655737704918,0.38895109903644887
Cameron Diaz,210,16,0.5238095238095238,0.07603549245236292,0.8127490039840638,0.5055718774916153
Anil Kapoor,209,30,0.6190476190476191,0.01636156618122015,0.6580645161290324,0.6115039745676628
Willem Dafoe,206,26,0.380952380952381,0.20596912379063215,0.8908296943231441,0.3429780060647042
Bradley Cooper,205,16,1.0,0.6642417069027085,1.0,0.7110727260530222
John Michael Higgins,202,15,0.6190476190476191,0.03293167217638306,0.8947368421052632,0.5331906308982473
Boman Irani,201,31,0.5238095238095238,0.017394993481492874,0.6538461538461539,0.531650945823182
Addison Holley,200,11,0.0,0.0,0.0,0.0
James Cromwell,199,22,0.2857142857142857,0.006653175367695089,0.7640449438202248,0.1929872600854331
John Leguizamo,199,28,0.2857142857142857,0.018570388559888455,0.7876447876447877,0.27680675319609194
Asrani,199,25,0.5238095238095238,0.02414787412170238,0.6538461538461539,0.5427193076609782
Joseph Gordon-Levitt,197,16,0.2380952380952381,0.0062087393539260825,0.723404255319149,0.1895440513918464
Zach Galifianakis,196,15,0.8095238095238096,0.08021473732343552,0.9107142857142858,0.655095492850475
Lake Bell,195,14,0.6190476190476191,0.040431145123137974,0.8607594936708861,0.6439652237115563
Steve Carell,194,18,0.6666666666666667,0.023829704837057028,0.8607594936708861,0.625485001901395
Katsuyuki Konishi,194,13,0.33333333333333337,0.0,0.4880382775119617,0.2109463851001793
Joan Cusack,191,22,0.2857142857142857,0.020992988880996672,0.7786259541984734,0.22124346913100504
Tony Hale,190,30,0.42857142857142855,0.07697703837453822,0.8225806451612904,0.3457090915632583
Steve Buscemi,189,24,0.5714285714285714,0.08051414470322847,0.8607594936708861,0.6806353066447588
Jun Fukuyama,188,16,0.380952380952381,0.04964399446601633,0.6219512195121951,0.4072387420021176
Prakash Raj,187,34,0.1904761904761905,0.0002827314499644528,0.6276923076923077,0.08983532565975104
Jon Hamm,186,11,0.761904761904762,0.037955144041814756,0.8986784140969164,0.5729482983785438
Maya Rudolph,186,18,0.6190476190476191,0.052776012587739424,0.8360655737704918,0.5830142844398061
Kari Wahlgren,186,21,0.761904761904762,0.686105147985275,0.8429752066115703,0.6163010745060798
Sanjay Mishra,186,24,0.42857142857142855,0.007750852272326117,0.6355140186915887,0.29644226223055425
Junichi Suwabe,186,22,0.33333333333333337,0.0,0.4880382775119617,0.4782866984744181
Justin Long,184,18,0.761904761904762,0.12109406835985306,0.8869565217391305,0.6170793606389102
Viola Davis,183,16,0.1904761904761905,0.0025020425856317353,0.6986301369863014,0.18117830783422023
Julia Roberts,183,15,0.5238095238095238,0.0920494958310709,0.8869565217391305,0.41932892260979865
Ray Liotta,182,24,0.4761904761904762,0.06265202108560447,0.8908296943231441,0.3498382852474855
Ben Kingsley,182,25,0.2380952380952381,0.0913775534335628,0.7611940298507462,0.21111358845347727
Hiroshi Kamiya,182,16,0.380952380952381,0.04964399446601633,0.6219512195121951,0.29257239017138986
Sean Astin,181,25,0.5238095238095238,0.09296401012298175,0.8535564853556485,0.40697673369203907
Dermot Mulroney,181,17,0.42857142857142855,0.0483775932214329,0.8031496062992126,0.3432693074784138
Jonah Hill,178,16,0.5714285714285714,0.04710357347973554,0.8908296943231441,0.5685865156809579
Johnny Depp,178,25,0.380952380952381,0.06760821360550645,0.8395061728395062,0.3115450600834044
Rob Riggle,177,19,0.5714285714285714,0.061601566290832695,0.8464730290456433,0.5473432287577721
Michael Gambon,177,16,0.2380952380952381,0.1663743192511872,0.7937743190661479,0.21562360239349013
Terrence Howard,177,16,0.6190476190476191,0.04952137409753938,0.8644067796610171,0.4528311937077989
Chris Parnell,177,15,0.42857142857142855,0.030547767437879878,0.7846153846153847,0.3017593801573467
Jim Broadbent,176,19,0.2380952380952381,0.026676438254323556,0.758364312267658,0.19418104993881097
John Travolta,175,22,0.5238095238095238,0.11890300276266119,0.8571428571428572,0.3905099748967465
Roy Rogers,174,24,0.0,0.0,0.0,0.0
Robert Patrick,174,21,0.4761904761904762,0.049737691364549336,0.819277108433735,0.34813769444306636
Nick Swardson,174,12,0.4761904761904762,0.0780520933690772,0.8160000000000001,0.47668801992947657
Kulbhushan Kharbanda,173,19,0.380952380952381,0.005009524227896217,0.5604395604395604,0.27856457536234835
Gulshan Grover,173,27,0.5714285714285714,0.02380281547070855,0.6559485530546624,0.42205854315342534
Janeane Garofalo,173,16,0.5238095238095238,0.023573842749621866,0.8395061728395062,0.41774585968739836
Tara Strong,171,32,0.2380952380952381,0.029948246227995655,0.7786259541984734,0.18688631737680272
Alfred Molina,171,24,0.380952380952381,0.30423767036651855,0.8831168831168832,0.31588050281227037
Danny DeVito,171,19,0.33333333333333337,0.0683031196233926,0.819277108433735,0.23512610880451634
James Marsden,171,20,0.33333333333333337,0.021993022640136247,0.8,0.26883531601639665
Sharat Saxena,170,23,0.42857142857142855,0.003256748553848932,0.5354330708661418,0.37564918385005136
Saif Ali Khan,170,26,0.4761904761904762,0.006858459209411017,0.6517571884984026,0.30660424461383706
Adam Sandler,170,21,0.42857142857142855,0.029356947746282683,0.7937743190661479,0.7045128882867981
Guy Pearce,169,23,0.1904761904761905,0.026931347670774004,0.7555555555555558,0.1669064239103825
Patton Oswalt,169,20,0.5714285714285714,0.08734201917906143,0.8986784140969164,0.37772421072766826
Diedrich Bader,169,17,0.380952380952381,0.029786891938827543,0.7906976744186047,0.3105247830889307
Rajesh Sharma,169,22,0.2380952380952381,0.0161921416638978,0.6276923076923077,0.13987709778721705
Tom Wilkinson,169,17,0.380952380952381,0.06422371247479063,0.8160000000000001,0.306163964620059
Elizabeth Banks,169,13,0.9523809523809524,0.12988649254528173,0.9577464788732395,0.7965666949425225
William H. Macy,168,20,0.33333333333333337,0.06457885415386333,0.8160000000000001,0.3950715542756447
Naomi Watts,168,16,0.761904761904762,0.0670572989953867,0.9026548672566373,0.5506433328242604
Kay Kay Menon,168,25,0.33333333333333337,0.001835747943511131,0.513853904282116,0.18332577532591954
Tiffany Haddish,166,17,0.2857142857142857,0.010767557697441405,0.7555555555555558,0.188782537552433
Michael Cera,166,16,0.761904761904762,0.055254875526468475,0.914798206278027,0.6004199298957977
Bobby Cannavale,166,12,0.5238095238095238,0.03808768503798996,0.8127490039840638,0.3830991191517704
Rob Corddry,165,13,0.5238095238095238,0.018044405008326887,0.7876447876447877,0.5526884648589598
Daisuke Ono,164,22,0.380952380952381,0.04964399446601633,0.6219512195121951,0.7255111429309244
Benedict Cumberbatch,163,16,0.1904761904761905,0.008513669628523096,0.7669172932330829,0.14876028447358644
Jeff Bennett,163,28,0.380952380952381,0.011279134742951027,0.769811320754717,0.6061792712809618
Kevin Michael Richardson,163,15,0.4761904761904762,0.042799275371936105,0.8225806451612904,0.4882106304715601
Ewan McGregor,162,24,0.380952380952381,0.03787287175485007,0.8031496062992126,0.3108946729433819
Ed Helms,162,12,0.6190476190476191,0.0353782753583231,0.8360655737704918,0.4889417060845507
